Name                                                       Stmts   Miss  Cover
------------------------------------------------------------------------------
orchestro/__init__.py                                          6      0   100%
orchestro/conftest.py                                         25      0   100%
orchestro/execution/__init__.py                                0      0   100%
orchestro/execution/config.py                                 15      0   100%
orchestro/execution/crypts.py                                 18      0   100%
orchestro/execution/test/__init__.py                           0      0   100%
orchestro/execution/test/test_config.py                        4      0   100%
orchestro/execution/test/test_crypts.py                        4      0   100%
orchestro/execution/test/test_vault.py                         4      0   100%
orchestro/execution/vault.py                                  15      0   100%
orchestro/filters/__init__.py                                  0      0   100%
orchestro/filters/common.py                                    3      0   100%
orchestro/inventory/__init__.py                                0      0   100%
orchestro/inventory/orche.py                                 118      0   100%
orchestro/inventory/test/__init__.py                           0      0   100%
orchestro/inventory/test/test_orche.py                        18      0   100%
orchestro/library/__init__.py                                  0      0   100%
orchestro/orche/__init__.py                                    3      0   100%
orchestro/orche/addons/__init__.py                             2      0   100%
orchestro/orche/addons/logger.py                              65      0   100%
orchestro/orche/addons/test/__init__.py                        0      0   100%
orchestro/orche/addons/test/test_logger.py                    39      0   100%
orchestro/orche/childs/__init__.py                             7      0   100%
orchestro/orche/childs/child.py                               64      0   100%
orchestro/orche/childs/group.py                               16      0   100%
orchestro/orche/childs/orche.py                              131      0   100%
orchestro/orche/childs/person.py                              16      0   100%
orchestro/orche/childs/subnet.py                              21      0   100%
orchestro/orche/childs/system.py                              16      0   100%
orchestro/orche/childs/test/__init__.py                        0      0   100%
orchestro/orche/childs/test/test_child.py                      8      0   100%
orchestro/orche/childs/test/test_group.py                     21      0   100%
orchestro/orche/childs/test/test_orche.py                     16      0   100%
orchestro/orche/childs/test/test_person.py                    21      0   100%
orchestro/orche/childs/test/test_subnet.py                    21      0   100%
orchestro/orche/childs/test/test_system.py                    21      0   100%
orchestro/orche/common.py                                      2      0   100%
orchestro/orche/config.py                                    101      0   100%
orchestro/orche/models.py                                     27      0   100%
orchestro/orche/orche.py                                      40      0   100%
orchestro/orche/params/__init__.py                             8      0   100%
orchestro/orche/params/child.py                               11      0   100%
orchestro/orche/params/common.py                               2      0   100%
orchestro/orche/params/group.py                               13      0   100%
orchestro/orche/params/orche.py                               17      0   100%
orchestro/orche/params/person.py                              13      0   100%
orchestro/orche/params/subnet.py                               8      0   100%
orchestro/orche/params/system.py                              14      0   100%
orchestro/orche/test/__init__.py                               2      0   100%
orchestro/orche/test/test_config.py                           20      0   100%
orchestro/orche/test/test_models.py                            9      0   100%
orchestro/orche/test/test_orche.py                            27      0   100%
orchestro/roles/__init__.py                                    0      0   100%
orchestro/roles/enhomie/__init__.py                            0      0   100%
orchestro/roles/enhomie/action_plugins/__init__.py             0      0   100%
orchestro/roles/enhomie/action_plugins/enhomie_params.py      25      0   100%
orchestro/roles/enrobie/__init__.py                            0      0   100%
orchestro/roles/enrobie/action_plugins/__init__.py             0      0   100%
orchestro/roles/enrobie/action_plugins/enrobie_params.py      25      0   100%
orchestro/utils/__init__.py                                    3      0   100%
orchestro/utils/child.py                                      18      0   100%
orchestro/utils/param.py                                      29      0   100%
orchestro/utils/test/__init__.py                               0      0   100%
orchestro/utils/test/test_child.py                            20      0   100%
orchestro/utils/test/test_param.py                            16      0   100%
------------------------------------------------------------------------------
TOTAL                                                       1168      0   100%
